agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
SOURCE AGENT,0,82,-182232.0,0.051194539249146756,55534.0,293.0
SOURCE AGENT,0,83,-184467.0,-3.9698046181172293,56097.0,563.0
SOURCE AGENT,0,84,-183778.0,6.043859649122807,56211.0,114.0
SOURCE AGENT,0,85,-184865.0,-5.251207729468599,56418.0,207.0
SOURCE AGENT,0,86,-186336.0,-5.003401360544218,56712.0,294.0
SOURCE AGENT,0,87,-186891.0,-1.5081521739130435,57080.0,368.0
SOURCE AGENT,0,88,-188182.0,-1.823446327683616,57788.0,708.0
SOURCE AGENT,0,89,-187621.0,3.923076923076923,57931.0,143.0
SOURCE AGENT,0,90,-190405.0,-4.512155591572123,58548.0,617.0
SOURCE AGENT,0,91,-191035.0,-1.1623616236162362,59090.0,542.0
SOURCE AGENT,0,92,-190648.0,3.2521008403361344,59209.0,119.0
SOURCE AGENT,0,93,-191137.0,-1.2194513715710724,59610.0,401.0
SOURCE AGENT,0,94,-190675.0,3.230769230769231,59753.0,143.0
SOURCE AGENT,0,95,-191177.0,-1.5936507936507935,60068.0,315.0
SOURCE AGENT,0,96,-190349.0,11.18918918918919,60142.0,74.0
SOURCE AGENT,0,97,-189665.0,5.7478991596638656,60261.0,119.0
SOURCE AGENT,0,98,-189391.0,1.1810344827586208,60493.0,232.0
SOURCE AGENT,0,99,-189999.0,-2.726457399103139,60716.0,223.0
SOURCE AGENT,0,100,-190250.0,-0.6952908587257618,61077.0,361.0
SOURCE AGENT,0,101,-189948.0,2.876190476190476,61182.0,105.0
SOURCE AGENT,0,102,-189617.0,1.8914285714285715,61357.0,175.0
SOURCE AGENT,0,103,-190130.0,-4.0078125,61485.0,128.0
SOURCE AGENT,0,104,-191727.0,-2.5841423948220066,62103.0,618.0
SOURCE AGENT,0,105,-193375.0,-6.0366300366300365,62376.0,273.0
SOURCE AGENT,0,106,-192545.0,11.527777777777779,62448.0,72.0
SOURCE AGENT,0,107,-195833.0,-3.5622968580715058,63371.0,923.0
SOURCE AGENT,0,108,-195105.0,9.706666666666667,63446.0,75.0
SOURCE AGENT,0,109,-194393.0,7.824175824175824,63537.0,91.0
SOURCE AGENT,0,110,-193564.0,11.356164383561644,63610.0,73.0
SOURCE AGENT,0,111,-193065.0,4.7075471698113205,63716.0,106.0
SOURCE AGENT,0,112,-195698.0,-3.054524361948956,64578.0,862.0
SOURCE AGENT,0,113,-195642.0,0.2222222222222222,64830.0,252.0
SOURCE AGENT,0,114,-195331.0,3.2395833333333335,64926.0,96.0
SOURCE AGENT,0,115,-196055.0,-2.135693215339233,65265.0,339.0
SOURCE AGENT,0,116,-196623.0,-1.1833333333333333,65745.0,480.0
SOURCE AGENT,0,117,-196076.0,3.484076433121019,65902.0,157.0
SOURCE AGENT,0,118,-195652.0,2.342541436464088,66083.0,181.0
SOURCE AGENT,0,119,-195762.0,-0.3448275862068966,66402.0,319.0
SOURCE AGENT,0,120,-196985.0,-1.9109375,67042.0,640.0
SOURCE AGENT,0,121,-197456.0,-1.658450704225352,67326.0,284.0
SOURCE AGENT,0,122,-199653.0,-3.5208333333333335,67950.0,624.0
SOURCE AGENT,0,123,-200991.0,-1.7721854304635762,68705.0,755.0
SOURCE AGENT,0,124,-201989.0,-1.9416342412451362,69219.0,514.0
SOURCE AGENT,0,125,-202405.0,-0.9742388758782201,69646.0,427.0
SOURCE AGENT,0,126,-201967.0,2.622754491017964,69813.0,167.0
SOURCE AGENT,0,127,-203196.0,-2.246800731261426,70360.0,547.0
SOURCE AGENT,0,128,-204229.0,-2.2955555555555556,70810.0,450.0
SOURCE AGENT,0,129,-203533.0,6.5046728971962615,70917.0,107.0
SOURCE AGENT,0,130,-203646.0,-0.5067264573991032,71140.0,223.0
SOURCE AGENT,0,131,-203548.0,0.8828828828828829,71251.0,111.0
SOURCE AGENT,0,132,-202725.0,10.417721518987342,71330.0,79.0
SOURCE AGENT,0,133,-202042.0,5.691666666666666,71450.0,120.0
SOURCE AGENT,0,134,-201882.0,0.6477732793522267,71697.0,247.0
SOURCE AGENT,0,135,-201625.0,1.0321285140562249,71946.0,249.0
SOURCE AGENT,0,136,-201806.0,-0.4641025641025641,72336.0,390.0
SOURCE AGENT,0,137,-200969.0,12.876923076923077,72401.0,65.0
SOURCE AGENT,0,138,-200280.0,6.043859649122807,72515.0,114.0
SOURCE AGENT,0,139,-200347.0,-0.3785310734463277,72692.0,177.0
SOURCE AGENT,0,140,-203659.0,-3.1663479923518163,73738.0,1046.0
SOURCE AGENT,0,141,-202836.0,10.417721518987342,73817.0,79.0
SOURCE AGENT,0,142,-202274.0,3.9577464788732395,73959.0,142.0
SOURCE AGENT,0,143,-201576.0,6.647619047619048,74064.0,105.0
SOURCE AGENT,0,144,-204731.0,-4.565846599131693,74755.0,691.0
SOURCE AGENT,0,145,-205232.0,-2.3302325581395347,74970.0,215.0
SOURCE AGENT,0,146,-206491.0,-3.321899736147757,75349.0,379.0
SOURCE AGENT,0,147,-205802.0,6.043859649122807,75463.0,114.0
SOURCE AGENT,0,148,-205231.0,4.293233082706767,75596.0,133.0
SOURCE AGENT,0,149,-205133.0,0.4666666666666667,75806.0,210.0
SOURCE AGENT,0,150,-204751.0,1.7130044843049328,76029.0,223.0
SOURCE AGENT,0,151,-205054.0,-0.964968152866242,76343.0,314.0
SOURCE AGENT,0,152,-204574.0,3.84,76468.0,125.0
SOURCE AGENT,0,153,-205666.0,-5.150943396226415,76680.0,212.0
SOURCE AGENT,0,154,-205235.0,2.4770114942528734,76854.0,174.0
SOURCE AGENT,0,155,-204547.0,5.982608695652174,76969.0,115.0
SOURCE AGENT,0,156,-206839.0,-3.187760778859527,77688.0,719.0
SOURCE AGENT,0,157,-206316.0,6.378048780487805,77770.0,82.0
SOURCE AGENT,0,158,-206659.0,-1.3450980392156864,78025.0,255.0
SOURCE AGENT,0,159,-206131.0,3.0,78201.0,176.0
SOURCE AGENT,0,160,-213343.0,-9.152284263959391,78989.0,788.0
SOURCE AGENT,0,161,-219980.0,-6.011775362318841,80093.0,1104.0
SOURCE AGENT,0,162,-221328.0,-4.992592592592593,80363.0,270.0
SOURCE AGENT,0,163,-220494.0,12.264705882352942,80431.0,68.0
SOURCE AGENT,0,164,-219791.0,7.03,80531.0,100.0
SOURCE AGENT,0,165,-218967.0,10.564102564102564,80609.0,78.0
SOURCE AGENT,0,166,-218807.0,0.6477732793522267,80856.0,247.0
SOURCE AGENT,0,167,-219301.0,-1.6091205211726385,81163.0,307.0
SOURCE AGENT,0,168,-218467.0,12.264705882352942,81231.0,68.0
SOURCE AGENT,0,169,-217917.0,3.5714285714285716,81385.0,154.0
SOURCE AGENT,0,170,-217085.0,11.885714285714286,81455.0,70.0
SOURCE AGENT,0,171,-216681.0,2.009950248756219,81656.0,201.0
SOURCE AGENT,0,172,-217024.0,-1.3450980392156864,81911.0,255.0
SOURCE AGENT,0,173,-216343.0,5.581967213114754,82033.0,122.0
SOURCE AGENT,0,174,-215870.0,3.5833333333333335,82165.0,132.0
SOURCE AGENT,0,175,-216212.0,-0.9688385269121813,82518.0,353.0
SOURCE AGENT,0,176,-215952.0,1.056910569105691,82764.0,246.0
SOURCE AGENT,0,177,-215726.0,0.8071428571428572,83044.0,280.0
SOURCE AGENT,0,178,-217742.0,-5.8604651162790695,83388.0,344.0
SOURCE AGENT,0,179,-218726.0,-3.2582781456953644,83690.0,302.0
SOURCE AGENT,0,180,-218291.0,2.5588235294117645,83860.0,170.0
SOURCE AGENT,0,181,-220191.0,-8.333333333333334,84088.0,228.0
SOURCE AGENT,0,182,-219355.0,12.666666666666666,84154.0,66.0
SOURCE AGENT,0,183,-218516.0,13.317460317460318,84217.0,63.0
SOURCE AGENT,0,184,-218300.0,2.347826086956522,84309.0,92.0
SOURCE AGENT,0,185,-217809.0,4.307017543859649,84423.0,114.0
SOURCE AGENT,0,186,-218248.0,-1.742063492063492,84675.0,252.0
SOURCE AGENT,0,187,-222789.0,-4.596153846153846,85663.0,988.0
SOURCE AGENT,0,188,-222355.0,2.538011695906433,85834.0,171.0
SOURCE AGENT,0,189,-222559.0,-0.9488372093023256,86049.0,215.0
SOURCE AGENT,0,190,-222392.0,0.6958333333333333,86289.0,240.0
SOURCE AGENT,0,191,-222663.0,-0.7112860892388452,86670.0,381.0
SOURCE AGENT,0,192,-222591.0,0.3050847457627119,86906.0,236.0
SOURCE AGENT,0,193,-222287.0,2.9514563106796117,87009.0,103.0
SOURCE AGENT,0,194,-222024.0,1.0823045267489713,87252.0,243.0
SOURCE AGENT,0,195,-221981.0,0.16226415094339622,87517.0,265.0
SOURCE AGENT,0,196,-223168.0,-2.3504950495049504,88022.0,505.0
SOURCE AGENT,0,197,-225444.0,-2.276,89022.0,1000.0
SOURCE AGENT,0,198,-224756.0,5.982608695652174,89137.0,115.0
SOURCE AGENT,0,199,-227140.0,-3.8890701468189235,89750.0,613.0
SOURCE AGENT,0,200,-227268.0,-0.5378151260504201,89988.0,238.0
SOURCE AGENT,0,201,-226610.0,4.537931034482758,90133.0,145.0
SOURCE AGENT,0,202,-228101.0,-3.610169491525424,90546.0,413.0
SOURCE AGENT,0,203,-228212.0,-0.346875,90866.0,320.0
SOURCE AGENT,0,204,-228405.0,-0.48009950248756217,91268.0,402.0
SOURCE AGENT,0,205,-227747.0,4.537931034482758,91413.0,145.0
SOURCE AGENT,0,206,-227356.0,1.8271028037383177,91627.0,214.0
SOURCE AGENT,0,207,-234178.0,-3.8239910313901344,93411.0,1784.0
SOURCE AGENT,0,208,-235155.0,-1.4138929088277858,94102.0,691.0
SOURCE AGENT,0,209,-234327.0,11.18918918918919,94176.0,74.0
SOURCE AGENT,0,210,-233653.0,5.224806201550388,94305.0,129.0
SOURCE AGENT,0,211,-234493.0,-1.2863705972434916,94958.0,653.0
SOURCE AGENT,0,212,-234761.0,-1.488888888888889,95138.0,180.0
SOURCE AGENT,0,213,-234506.0,1.0159362549800797,95389.0,251.0
SOURCE AGENT,0,214,-233709.0,7.59047619047619,95494.0,105.0
SOURCE AGENT,0,215,-233402.0,3.07,95594.0,100.0
SOURCE AGENT,0,216,-233311.0,0.2879746835443038,95910.0,316.0
SOURCE AGENT,0,217,-235720.0,-5.475,96350.0,440.0
SOURCE AGENT,0,218,-236185.0,-0.976890756302521,96826.0,476.0
SOURCE AGENT,0,219,-235828.0,1.439516129032258,97074.0,248.0
SOURCE AGENT,0,220,-235443.0,1.75,97294.0,220.0
SOURCE AGENT,0,221,-235802.0,-0.7654584221748401,97763.0,469.0
SOURCE AGENT,0,222,-237768.0,-2.491761723700887,98552.0,789.0
SOURCE AGENT,0,223,-237118.0,4.248366013071895,98705.0,153.0
SOURCE AGENT,0,224,-236634.0,4.0,98826.0,121.0
SOURCE AGENT,0,225,-238307.0,-2.8117647058823527,99421.0,595.0
SOURCE AGENT,0,226,-237468.0,13.317460317460318,99484.0,63.0
SOURCE AGENT,0,227,-238761.0,-1.8211267605633803,100194.0,710.0
SOURCE AGENT,0,228,-241597.0,-2.245447347585115,101457.0,1263.0
SOURCE AGENT,0,229,-241025.0,4.333333333333333,101589.0,132.0
SOURCE AGENT,0,230,-242953.0,-3.4864376130198913,102142.0,553.0
SOURCE AGENT,0,231,-242677.0,1.2,102372.0,230.0
SOURCE AGENT,0,232,-242944.0,-0.960431654676259,102650.0,278.0
SOURCE AGENT,0,233,-248383.0,-5.466331658291457,103645.0,995.0
SOURCE AGENT,0,234,-249123.0,-4.713375796178344,103802.0,157.0
SOURCE AGENT,0,235,-248294.0,11.356164383561644,103875.0,73.0
SOURCE AGENT,0,236,-253251.0,-4.110281923714759,105081.0,1206.0
SOURCE AGENT,0,237,-254798.0,-4.181081081081081,105451.0,370.0
SOURCE AGENT,0,238,-253968.0,11.527777777777779,105523.0,72.0
SOURCE AGENT,0,239,-254182.0,-1.6984126984126984,105649.0,126.0
SOURCE AGENT,0,240,-253346.0,12.666666666666666,105715.0,66.0
SOURCE AGENT,0,241,-253011.0,1.95906432748538,105886.0,171.0
SOURCE AGENT,0,242,-254531.0,-2.0568335588633286,106625.0,739.0
SOURCE AGENT,0,243,-260258.0,-4.836993243243243,107809.0,1184.0
SOURCE AGENT,0,244,-259968.0,1.3425925925925926,108025.0,216.0
SOURCE AGENT,0,245,-259913.0,0.21739130434782608,108278.0,253.0
SOURCE AGENT,0,246,-260513.0,-1.4527845036319613,108691.0,413.0
SOURCE AGENT,0,247,-263552.0,-5.285217391304347,109266.0,575.0
